,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
0,VESPER,developer,https://www.cian.ru/sale/flat/286258299/,Москва,sale,flat,5,9,2,104.2,166084380.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
1,MadeState,real_estate_agent,https://www.cian.ru/sale/flat/303547143/,Москва,sale,flat,14,44,2,68.8,45500000.0,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
2,ID 18174647,realtor,https://www.cian.ru/sale/flat/301450189/,Москва,sale,flat,26,31,5,246.7,292256347.0,Очаково-Матвеевское,Нежинская ,1к1,Давыдково,Кутузовская Ривьера
3,Sminex,developer,https://www.cian.ru/sale/flat/306341798/,Москва,sale,flat,4,12,2,86.1,222830000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный город-парк 
4,MadeState,real_estate_agent,https://www.cian.ru/sale/flat/308064330/,Москва,sale,flat,5,19,3,97.36,65000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2зд3,Шелепиха,Сердце Столицы
5,ID 20374442,unknown,https://www.cian.ru/sale/flat/305913352/,Москва,sale,flat,12,14,2,53.0,18700000.0,Преображенское,Большая Черкизовская ,20К4,Преображенская площадь,
6,VESPER,developer,https://www.cian.ru/sale/flat/308803465/,Москва,sale,flat,1,6,2,173.3,363930000.0,Пресненский,Трехпрудный переулок,9С2,Пушкинская,Клубный дом Левенсон
7,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299525140/,Москва,sale,flat,4,5,4,76.0,50000000.0,Якиманка, Серафимовича,5/16,Боровицкая,
8,ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/306823110/,Москва,sale,flat,5,8,2,82.4,77456000.0,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
9,MR Group,developer,https://www.cian.ru/sale/flat/309385064/,Москва,sale,flat,2,28,2,57.7,22164301.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
10,MadeState,real_estate_agent,https://www.cian.ru/sale/flat/300276890/,Москва,sale,flat,9,14,5,136.0,92000000.0,Раменки,проспект Генерала Дорохова,39к2В,Минская,Собрание клубных домов West Garden
11,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309516529/,Москва,sale,flat,3,8,2,57.0,48950000.0,Тверской,Тверская ,17,Пушкинская,
12,VESPER,developer,https://www.cian.ru/sale/flat/306541560/,Москва,sale,flat,5,21,1,65.9,82172522.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
13,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
14,Екатерина Колесникова,realtor,https://www.cian.ru/sale/flat/309446111/,Москва,sale,flat,13,17,1,38.7,14400000.0,Кунцево,Кунцевская ,4К1,Рабочий посёлок,
15,КОРТРОС,developer,https://www.cian.ru/sale/flat/306476093/,Москва,sale,flat,4,49,2,59.05,23541463.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
16,White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301763282/,Москва,sale,flat,39,41,2,56.9,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
17,ID 103843695,homeowner,https://www.cian.ru/sale/flat/309566682/,Москва,sale,flat,10,17,2,53.9,19000000.0,,проспект Прокшинский,12,Прокшино,Прокшино
18,Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243023/,Москва,sale,flat,9,27,2,69.4,32340400.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
19,Рента,real_estate_agent,https://www.cian.ru/sale/flat/307983948/,Москва,sale,flat,3,9,5,234.8,125000000.0,Тверской,Краснопролетарская ,7,Новослободская,Ласточкино гнездо
20,ID 85604823,unknown,https://www.cian.ru/sale/flat/309407725/,Москва,sale,flat,6,41,2,42.0,30000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
21,Пионер,developer,https://www.cian.ru/sale/flat/301459955/,Москва,sale,flat,4,11,2,85.3,78166361.0,Даниловский,,,Павелецкая,Опус ЖК
22,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309704350/,Москва,sale,flat,9,25,3,129.9,55000000.0,Солнцево, Главмосстроя,10,Говорово,
23,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/275836899/,Москва,sale,flat,11,12,5,303.0,539399299.0,Хамовники,Трубецкая ,12,Фрунзенская,Садовые кварталы
